"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2020-11",99.930469613213,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2020-12",99.8504538292722,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2021-01",99.6089528292666,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2021-02",99.4524800382487,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2021-03",99.5292440573014,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2021-04",99.4377191362128,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2021-05",99.278842602774,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2021-06",99.0527942771909,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2021-07",98.7310298171878,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2021-08",98.3954858552558,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2021-09",98.1261285169834,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2021-10",98.0759678179834,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2021-11",98.306199060493,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2021-12",98.4889907790347,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2022-01",98.4588421929183,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2022-02",98.2034778643694,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2022-03",97.7203099079757,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2022-04",97.358645507571,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2022-05",97.694952554286,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2022-06",98.0708170919256,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2022-07",98.1671864136158,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2022-08",98.1495636541726,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2022-09",97.9637361500688,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2022-10",97.440241387212,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2022-11",96.9144104467218,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2022-12",96.9682740727746,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2023-01",97.9142753530777,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2023-02",98.8729742094701,
"CHN","BCI","AMPLITUD","LTRENDIDX","M","2023-03",99.5191849559939,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-06",100.745372191593,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-07",100.923541091413,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-08",101.183624650252,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-09",101.356941800356,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-10",101.324436559972,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-11",101.291810694772,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017-12",101.351156656132,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-01",101.401470993449,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-02",101.425645751429,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-03",101.305619189308,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-04",101.179383362679,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-05",101.224673326957,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-06",101.336753152485,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-07",101.397040828325,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-08",101.497365795376,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-09",101.408808968427,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-10",101.198897467555,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-11",100.98382408643,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018-12",100.667486491074,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-01",100.515320450215,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-02",100.349512901816,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-03",100.216885277193,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-04",99.9941387850048,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-05",99.7895519227907,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-06",99.6051647047489,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-07",99.3844080899137,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-08",99.1068012378924,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-09",98.8965956708175,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-10",98.8295098232622,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-11",98.8514422318204,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2019-12",98.9576698355449,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2020-01",99.1260705862365,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2020-02",99.0090934295302,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2020-03",98.5949897055344,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2020-04",98.1454103809252,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2020-05",98.3852848671769,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2020-06",99.2482910613588,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2020-07",99.9957407091072,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2020-08",100.483709815209,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2020-09",100.774348845079,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2020-10",101.05151844903,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2020-11",101.195615488951,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2020-12",101.380880566835,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2021-01",101.527696154479,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2021-02",101.7899962329,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2021-03",102.004845874311,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2021-04",101.901013465808,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2021-05",101.758598200439,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2021-06",101.615962862652,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2021-07",101.524261546541,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2021-08",101.555540050177,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2021-09",101.647789795381,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2021-10",101.663359286385,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2021-11",101.565774251556,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2021-12",101.336900680654,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2022-01",101.141797331396,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2022-02",101.019449526521,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2022-03",100.831225106706,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2022-04",100.607447141205,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2022-05",100.39928098902,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2022-06",100.121329924597,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2022-07",99.9167587240491,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2022-08",99.7401475217092,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2022-09",99.5172180295233,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2022-10",99.3214447393913,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2022-11",99.1709570943991,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2022-12",99.0673553449159,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2023-01",98.9892407595503,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2023-02",98.9285499029045,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2023-03",98.8565567680575,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2017-06",103.360271011484,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2017-07",103.524640603525,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2017-08",103.365893267854,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2017-09",103.126307384456,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2017-10",103.038291579162,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2017-11",103.179718807447,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2017-12",103.229990034052,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2018-01",102.936453438538,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2018-02",102.229556257038,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2018-03",101.645707383613,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2018-04",101.668475261069,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2018-05",101.896406125513,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2018-06",102.257133165235,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2018-07",102.493909571224,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2018-08",102.444563524296,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2018-09",102.203813279323,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2018-10",102.064264509145,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2018-11",102.25892675834,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2018-12",102.351005773397,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2019-01",101.998364746773,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2019-02",101.384329437118,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2019-03",100.753442970029,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2019-04",100.132113058643,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2019-05",99.5579262380429,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2019-06",99.2134193319265,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2019-07",98.8241784536653,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2019-08",98.4642514161312,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2019-09",97.9762391469811,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2019-10",98.1156073558338,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2019-11",98.4666196784578,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2019-12",98.6272448683378,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2020-01",98.6967280940568,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2020-02",98.0962917897273,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2020-03",96.3483680666721,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2020-04",94.3235553102946,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2020-05",93.8694659408864,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2020-06",94.8935827911646,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2020-07",96.4805712421308,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2020-08",97.3971280926956,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2020-09",98.2807988086114,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2020-10",98.9591989412459,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2020-11",98.6751076050872,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2020-12",98.4510186353499,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2021-01",98.4138248795518,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2021-02",99.5538426443521,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2021-03",101.409476958112,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2021-04",102.876813069282,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2021-05",104.051886797821,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2021-06",104.746896546972,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2021-07",105.045303131308,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2021-08",104.948804190669,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2021-09",105.004059931435,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2021-10",105.290924840823,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2021-11",105.585469686337,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2021-12",105.562851212628,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2022-01",105.282161972823,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2022-02",104.905458496277,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2022-03",104.526288799865,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2022-04",104.120783268366,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2022-05",103.885516122397,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2022-06",103.142408161238,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2022-07",102.125814234394,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2022-08",101.049695558295,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2022-09",100.564826413958,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2022-10",100.659097068763,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2022-11",100.529469599655,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2022-12",100.401717441934,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2023-01",100.361782608611,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2023-02",100.180349326451,
"GBR","BCI","AMPLITUD","LTRENDIDX","M","2023-03",100.087607131993,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2017-06",98.4728400592539,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2017-07",98.8543543305072,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2017-08",99.2317385449252,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2017-09",99.5240391991343,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2017-10",99.7110130622016,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2017-11",99.749814463182,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2017-12",99.597009369808,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2018-01",99.3787619292665,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2018-02",99.2510564431128,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2018-03",99.3253616893526,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2018-04",99.5037532901361,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2018-05",99.6553939956264,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2018-06",99.6889276133242,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2018-07",99.6516238326858,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2018-08",99.6122494307224,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2018-09",99.6147768759363,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2018-10",99.6341635535809,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2018-11",99.6156219087985,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2018-12",99.4970303573269,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2019-01",99.2692725186336,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2019-02",98.8858408256297,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2019-03",98.2816064216074,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2019-04",97.5472629114862,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2019-05",96.7812041755107,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2019-06",96.0715112890473,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2019-07",95.5096546682349,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2019-08",95.2314255428262,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2019-09",95.3100311633784,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2019-10",95.3655625130394,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2019-11",94.8625669821586,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2019-12",93.4306953137879,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2020-01",91.7438754297246,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2020-02",90.7787095046115,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2020-03",91.327819255728,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2020-04",92.7915372738323,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2020-05",94.4678911595049,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2020-06",95.9279793925052,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2020-07",97.1787113335588,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2020-08",98.2894562884935,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2020-09",99.2280488643208,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2020-10",99.8367813114373,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2020-11",99.7715603031759,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2020-12",98.7709238440683,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2021-01",97.5990116334856,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2021-02",97.332500402339,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2021-03",98.8188150012562,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2021-04",101.228938509323,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2021-05",103.496928819759,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2021-06",104.835626316453,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2021-07",105.394494748115,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2021-08",105.338899615104,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2021-09",104.709215621274,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2021-10",103.894397690501,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2021-11",103.300320428434,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2021-12",103.20325152118,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2022-01",103.382584465294,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2022-02",103.552288181843,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2022-03",103.515954779102,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2022-04",103.331476542818,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2022-05",103.096593808838,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2022-06",102.882587669293,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2022-07",102.718377176461,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2022-08",102.637335128913,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2022-09",102.674308210936,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2022-10",102.779468686677,
"IND","BCI","AMPLITUD","LTRENDIDX","M","2022-11",102.906734083177,
"OECD","BCI","AMPLITUD","LTRENDIDX","M","2017-06",101.0306,
"OECD","BCI","AMPLITUD","LTRENDIDX","M","2017-07",101.1607,
"OECD","BCI","AMPLITUD","LTRENDIDX","M","2017-08",101.3068,
"OECD","BCI","AMPLITUD","LTRENDIDX","M","2017-09",101.4334,
"OECD","BCI","AMPLITUD","LTRENDIDX","M","2017-10",101.4756,
"OECD","BCI","AMPLITUD","LTRENDIDX","M","2017-11",101.4982,
"OECD","BCI","AMPLITUD","LTRENDIDX","M","2017-12",101.5249,
